model,p,d,q,P,D,Q,MSE,MAE,ForeMSE,ForeMAE
SARIMAX-FT,5,1,2,1,1,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,3,0,0,0,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,3,0,0,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,3,0,1,0,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,3,0,1,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,3,1,0,0,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,3,1,0,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,3,1,1,0,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,3,1,1,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,4,0,0,0,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,4,0,0,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,4,0,1,0,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,4,0,1,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,4,1,0,0,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,4,1,0,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,4,1,1,0,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
SARIMAX-FT,5,1,4,1,1,1,87532.5186071436,238.17454211939526,53177.444506493615,189.21586918808384
